date,fii,dii,regime,net_flow
2022-01-03,2582.28,245.84,bull,2828.1200000000003
2022-01-04,1982.71,486.54,bull,2469.25
2022-01-05,4798.9,-753.99,bull,4044.91
2022-01-06,2054.5,517.37,bull,2571.87
2022-01-07,4079.57,-866.0,bull,3213.57
2022-01-10,2079.81,-697.25,bull,1382.56
2022-01-11,1155.55,-1143.06,bull,12.490000000000009
2022-01-12,1495.86,-1037.46,bull,458.39999999999986
2022-01-13,2465.32,-336.05,bull,2129.27
2022-01-14,4050.5,-1198.85,bull,2851.65
2022-01-17,3484.32,-649.79,bull,2834.53
2022-01-18,2450.54,-27.63,bull,2422.91
2022-01-19,1377.28,-232.31,bull,1144.97
2022-01-20,2666.45,-155.28,bull,2511.1699999999996
2022-01-21,2789.17,1218.71,bull,4007.88
2022-01-24,1862.26,-871.7,bull,990.56
2022-01-25,1876.86,-888.83,bull,988.0299999999999
2022-01-26,1862.61,332.31,bull,2194.92
2022-01-27,3920.5,-899.52,bull,3020.98
2022-01-28,1667.64,-170.01,bull,1497.63
2022-01-31,1947.78,-56.95,bull,1890.83
2022-02-01,2702.92,-1561.02,bull,1141.9
2022-02-02,4047.51,757.11,bull,4804.62
2022-02-03,1887.21,-771.39,bull,1115.8200000000002
2022-02-04,2785.87,-265.88,bull,2519.99
2022-02-07,3158.54,907.14,bull,4065.68
2022-02-08,2323.05,-1058.81,bull,1264.2400000000002
2022-02-09,1120.68,-1011.65,bull,109.03000000000009
2022-02-10,2466.87,756.19,bull,3223.06
2022-02-11,1982.39,-343.35,bull,1639.04
2022-02-14,2483.58,331.88,bull,2815.46
2022-02-15,5026.93,-871.61,bull,4155.320000000001
2022-02-16,2010.56,230.91,bull,2241.47
2022-02-17,3181.89,792.7,bull,3974.59
2022-02-18,3083.93,-751.5,bull,2332.43
2022-02-21,3090.65,276.09,bull,3366.7400000000002
2022-02-22,3320.48,-144.91,bull,3175.57
2022-02-23,3566.67,318.51,bull,3885.1800000000003
2022-02-24,3882.16,-45.9,bull,3836.2599999999998
2022-02-25,2332.88,-397.3,bull,1935.5800000000002
2022-02-28,3706.51,-1071.85,bull,2634.6600000000003
2022-03-01,2868.67,-775.34,bull,2093.33
2022-03-02,2528.74,394.92,bull,2923.66
2022-03-03,2691.1,-467.49,bull,2223.6099999999997
2022-03-04,1140.14,22.38,bull,1162.5200000000002
2022-03-07,3145.48,1014.28,bull,4159.76
2022-03-08,2192.22,-346.59,bull,1845.6299999999999
2022-03-09,2749.38,604.22,bull,3353.6000000000004
2022-03-10,2404.7,-304.68,bull,2100.02
2022-03-11,3107.9,-369.37,bull,2738.53
2022-03-14,2053.57,-364.14,bull,1689.4300000000003
2022-03-15,3573.63,-1218.56,bull,2355.07
